id,equipment,gifUrl,name,target,bodyPart,calories 12 reps (cals)
295,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0336.gif,dumbbell lunge,glutes,leg,6
296,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/3888.gif,dumbbell one arm snatch,glutes,leg,6
297,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0371.gif,dumbbell plyo squat,glutes,leg,5
298,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0381.gif,dumbbell rear lunge,glutes,leg,6
299,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1459.gif,dumbbell romanian deadlift,glutes,leg,5
300,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1757.gif,dumbbell single leg deadlift,glutes,leg,6
301,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0411.gif,dumbbell single leg squat,glutes,leg,5
302,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0413.gif,dumbbell squat,glutes,leg,6
303,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0432.gif,dumbbell stiff leg deadlift,glutes,leg,6
304,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0434.gif,dumbbell straight leg deadlift,glutes,leg,6
316,barbell,http://d205bpvrqc9yn1.cloudfront.net/1316.gif,barbell bent arm pullover,back muscle,back,5
317,barbell,http://d205bpvrqc9yn1.cloudfront.net/0034.gif,barbell decline bent arm pullover,back muscle,back,5
318,barbell,http://d205bpvrqc9yn1.cloudfront.net/0037.gif,barbell decline wide-grip pullover,back muscle,back,6
319,barbell,http://d205bpvrqc9yn1.cloudfront.net/0073.gif,barbell pullover,back muscle,back,5
320,body weight,http://d205bpvrqc9yn1.cloudfront.net/1346.gif,kneeling lat stretch,back muscle,back,4
321,body weight,http://d205bpvrqc9yn1.cloudfront.net/0690.gif,seated lower back stretch,back muscle,back,4
322,body weight,http://d205bpvrqc9yn1.cloudfront.net/1358.gif,side lying floor stretch,back muscle,back,4
323,body weight,http://d205bpvrqc9yn1.cloudfront.net/0794.gif,standing lateral stretch,back muscle,back,4
324,barbell,http://d205bpvrqc9yn1.cloudfront.net/0025.gif,barbell bench press,chest muscle,chest,5
325,barbell,http://d205bpvrqc9yn1.cloudfront.net/0033.gif,barbell decline bench press,chest muscle,chest,6
326,barbell,http://d205bpvrqc9yn1.cloudfront.net/1255.gif,barbell decline pullover,chest muscle,chest,5
327,barbell,http://d205bpvrqc9yn1.cloudfront.net/0040.gif,barbell front raise and pullover,chest muscle,chest,6
328,barbell,http://d205bpvrqc9yn1.cloudfront.net/0045.gif,barbell guillotine bench press,chest muscle,chest,5
329,barbell,http://d205bpvrqc9yn1.cloudfront.net/0122.gif,barbell wide bench press,chest muscle,chest,6
330,barbell,http://d205bpvrqc9yn1.cloudfront.net/1258.gif,barbell wide reverse grip bench press,chest muscle,chest,6
331,body weight,http://d205bpvrqc9yn1.cloudfront.net/3294.gif,archer push up,chest muscle,chest,5
